Word,Frequency,Rank,,,,
the,132654,1,,,,
and,93088,2,,,,
of,70835,3,,,,
to,47178,4,,,,
a,33362,5,,,,
in,32803,6,,,,
that,26996,7,,,,
i,25836,8,,,,
he,24451,9,,,,
his,21210,10,,,,
for,18756,11,,,,
was,18059,12,,,,
with,17358,13,,,,
it,16393,14,,,,
not,15834,15,,,,
is,15522,16,,,,
be,15504,17,,,,
as,14284,18,,,,
they,12694,19,,,,
but,12569,20,,,,
all,12358,21,,,,
you,11654,22,,,,From the above log log graph we can conclude that Zipf's law is followed even in natural language. 
shall,11621,23,,,,
my,10234,24,,,,
had,10121,25,,,,
have,9930,26,,,,
her,9689,27,,,,
at,9028,28,,,,
from,9005,29,,,,
unto,9000,30,,,,
she,8504,31,,,,
which,8427,32,,,,
by,8245,33,,,,
this,7936,34,,,,
on,7919,35,,,,
their,7776,36,,,,
him,7054,37,,,,
will,6964,38,,,,
so,6839,39,,,,
said,6772,40,,,,
were,6664,41,,,,
are,6538,42,,,,
thou,6343,43,,,,
or,6140,44,,,,
when,6123,45,,,,
them,5792,46,,,,
thy,5599,47,,,,
one,5438,48,,,,
lord,5061,49,,,,
your,4999,50,,,,
out,4967,51,,,,
there,4967,52,,,,
what,4920,53,,,,
no,4898,54,,,,
if,4889,55,,,,
me,4885,56,,,,
an,4805,57,,,,
we,4687,58,,,,
upon,4495,59,,,,
ye,4284,60,,,,
then,4153,61,,,,
into,4075,62,,,,
up,4053,63,,,,
would,3907,64,,,,
who,3867,65,,,,
very,3854,66,,,,
do,3820,67,,,,
man,3604,68,,,,
could,3436,69,,,,
more,3404,70,,,,
now,3372,71,,,,
been,3309,72,,,,
any,3264,73,,,,
like,3206,74,,,,
came,3137,75,,,,
"him,",3117,76,,,,
before,3053,77,,,,
little,2906,78,,,,
than,2892,79,,,,
every,2865,80,,,,
come,2806,81,,,,
did,2758,82,,,,
god,2681,83,,,,
some,2680,84,,,,
our,2673,85,,,,
great,2668,86,,,,
these,2647,87,,,,
after,2617,88,,,,
am,2617,89,,,,
made,2577,90,,,,
hath,2512,91,,,,
should,2504,92,,,,
let,2492,93,,,,
such,2456,94,,,,
may,2418,95,,,,
how,2383,96,,,,
see,2378,97,,,,
even,2367,98,,,,
know,2365,99,,,,
go,2348,100,,,,
against,2303,101,,,,
"them,",2292,102,,,,
only,2279,103,,,,
"said,",2273,104,,,,
must,2256,105,,,,
over,2248,106,,,,
down,2226,107,,,,
make,2207,108,,,,
about,2205,109,,,,
"me,",2192,110,,,,
went,2186,111,,,,
good,2151,112,,,,
two,2139,113,,,,
son,2068,114,,,,
thee,2058,115,,,,
much,2055,116,,,,
king,2030,117,,,,
own,1975,118,,,,
"""i",1924,119,,,,
yet,1922,120,,,,
other,1899,121,,,,
can,1866,122,,,,
mr.,1855,123,,,,
"lord,",1847,124,,,,
might,1845,125,,,,
o,1842,126,,,,
day,1824,127,,,,
children,1822,128,,,,
also,1821,129,,,,
"you,",1802,130,,,,
"it,",1796,131,,,,
because,1782,132,,,,
old,1780,133,,,,
never,1741,134,,,,
men,1741,135,,,,
time,1730,136,,,,
give,1729,137,,,,
house,1726,138,,,,
nor,1722,139,,,,
people,1720,140,,,,
take,1718,141,,,,
where,1679,142,,,,
us,1677,143,,,,
shalt,1672,144,,,,
say,1664,145,,,,
those,1624,146,,,,
first,1599,147,,,,
being,1595,148,,,,
has,1590,149,,,,
though,1576,150,,,,
put,1568,151,,,,
through,1516,152,,,,
saw,1511,153,,,,
without,1504,154,,,,
mrs.,1503,155,,,,
most,1479,156,,,,
think,1479,157,,,,
"thee,",1468,158,,,,
him.,1466,159,,,,
many,1449,160,,,,
"saying,",1427,161,,,,
heard,1404,162,,,,
among,1398,163,,,,
thing,1394,164,,,,
hand,1371,165,,,,
