,totalSeasons,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,Awards Wins,Awards Nominated,Primetime Emmys Wins,Primetime Emmys Nominations,Oscar Nominations,Oscar Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
11,none,At Pacific Palisades High; a poor Latino falls hard for a troubled girl from the affluent neighborhood.,PG-13,True,English,Crazy/Beautiful,USA,Phil Hay; Matt Manfredi,61,6.5,John Stockwell,29 Jun 2001,Kirsten Dunst; Jay Hernandez; Bruce Davison; Herman Osorio,2001,Drama; Romance,5 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NTYyMjI0MF5BMl5BanBnXkFtZTYwMTM4Mzc3._V1_SX300.jpg,21612,tt0250224,0,5,0,0,0,0,0,0,0,0
13,none,Love is complex and relationships deteriorate.,R,True,English,The Anniversary Party,USA,Jennifer Jason Leigh; Alan Cumming,56,6.4,Alan Cumming; Jennifer Jason Leigh,29 Jun 2001,Alan Cumming; Jennifer Jason Leigh; Otis; Steven Freedman,2001,Comedy; Drama; Romance,2 wins & 5 nominations.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMzY1NjM2NDk4N15BMl5BanBnXkFtZTYwNzg2MTc5._V1_SX300.jpg,7412,tt0254099,2,5,0,0,0,0,0,0,0,0
15,none,An older British reporter vies with a young U.S. doctor for the affections of a beautiful Vietnamese woman.,R,True,English; French; Vietnamese,The Quiet American,UK; Germany; USA; Australia; France,Graham Greene (novel); Christopher Hampton (screenplay); Robert Schenkkan (screenplay),84,7.1,Phillip Noyce,07 Mar 2003,Michael Caine; Brendan Fraser; Do Thi Hai Yen; Rade Serbedzija,2002,Drama; History; Mystery,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,101 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NTUxNTE3Nl5BMl5BanBnXkFtZTYwNTczMTg5._V1_SX300.jpg,24178,tt0258068,13,14,0,0,1,0,0,0,0,0
24,none,A psychologically troubled novelty supplier is nudged towards a romance with an English woman; all the while being extorted by a phone-sex line run by a crooked mattress salesman; and purchasing stunning amounts of pudding.,R,True,English,Punch-Drunk Love,USA,Paul Thomas Anderson,78,7.3,Paul Thomas Anderson,01 Nov 2002,Adam Sandler; Jason Andrews; Don McManus; Emily Watson,2002,Comedy; Drama; Romance,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMDY2MDU2YjEtMTRiZi00NGQ2LTlkODgtZmQ0ZjhlMTgxNGY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,112174,tt0272338,14,35,0,0,0,0,1,0,0,0
31,none,In London during World War II; this is the story of Wendy's daughter; Jane; who is kidnapped by Captain Hook and Peter Pan must come to the rescue.,G,True,English,Return to Never Land,USA; Canada; Australia,Temple Mathews (screenplay); Carter Crocker (additional written material); J.M. Barrie (play),49,5.8,Robin Budd; Donovan Cook,15 Feb 2002,Harriet Owen; Blayne Weaver; Corey Burton; Jeff Bennett,2002,Animation; Adventure; Family,5 nominations.,72 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BYWMwMWQ5NWQtYTA1YS00OTQ5LWExZmItNGI5MzIyMWRhNDA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,13609,tt0280030,0,5,0,0,0,0,0,0,0,0
34,none,A group of over-achieving Asian-American high school seniors enjoy a power trip when they dip into extra-curricular criminal activities.,R,True,English,Better Luck Tomorrow,USA,Ernesto Foronda; Justin Lin; Fabian Marquez,67,7.2,Justin Lin,25 Apr 2003,Parry Shen; Jason Tobin; Shirley Anderson; Nanette Matoba,2002,Crime; Drama; Romance,1 win & 2 nominations.,101 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4OTYwODUyN15BMl5BanBnXkFtZTYwMDUzMTQ3._V1_SX300.jpg,8043,tt0280477,1,2,0,0,0,0,0,0,0,0
43,none,The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.,R,True,English,Van Wilder: Party Liaison,Germany; USA,Brent Goldberg; David Wagner,26,6.4,Walt Becker,05 Apr 2002,Ryan Reynolds; Tara Reid; Tim Matheson; Kal Penn,2002,Comedy; Romance,2 nominations.,92 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4YjQxYzAtNzAyNy00Zjk1LTk4ZTMtNTUwNTBjMWY1M2IwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,89920,tt0283111,0,2,0,0,0,0,0,0,0,0
72,none,A snooty socialite is stranded on a Mediterranean island with a communist sailor.,R,True,English; Greek; Italian,Swept Away,UK; Italy,Guy Ritchie (screenplay),18,3.6,Guy Ritchie,11 Oct 2002,Bruce Greenwood; Madonna; Elizabeth Banks; Michael Beattie,2002,Comedy; Romance,7 wins & 6 nominations.,89 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MDcyNDk3Nl5BMl5BanBnXkFtZTYwMjU1MTQ3._V1_SX300.jpg,13249,tt0291502,7,6,0,0,0,0,0,0,0,0
87,none,Harry ignores warnings not to return to Hogwarts; only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.,PG,True,English,Harry Potter and the Chamber of Secrets,UK; USA; Germany,J.K. Rowling (novel); Steve Kloves (screenplay),63,7.4,Chris Columbus,15 Nov 2002,Daniel Radcliffe; Rupert Grint; Emma Watson; Richard Griffiths,2002,Adventure; Family; Fantasy,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,161 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1_SX300.jpg,395740,tt0295297,11,42,0,0,0,0,0,0,3,0
91,none,A professional athlete has to help a U.S. government agent recover a missing jet.,PG-13,True,English; Hungarian; Russian,I Spy,USA,Morton S. Fine (characters); David Friedkin (characters); Marianne Wibberley (story); Cormac Wibberley (story); Marianne Wibberley (screenplay); Cormac Wibberley (screenplay); Jay Scherick (screenplay); David Ronn (screenplay),35,5.4,Betty Thomas,01 Nov 2002,Eddie Murphy; Owen Wilson; Famke Janssen; Malcolm McDowell,2002,Action; Adventure; Comedy,2 wins & 5 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BN2YzMzc1MDUtYzE0OS00MWQwLWI0MTEtNWU1ZWM2NTI2NGIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,42123,tt0297181,2,5,0,0,0,0,0,0,0,0
94,none,A journalist must investigate a mysterious videotape which seems to cause the death of anyone in a week of viewing it.,PG-13,True,English,The Ring,USA; Japan,Ehren Kruger (screenplay); Kôji Suzuki (novel),57,7.1,Gore Verbinski,18 Oct 2002,Naomi Watts; Martin Henderson; David Dorfman; Brian Cox,2002,Horror; Mystery,14 wins & 11 nominations.,115 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5._V1_SX300.jpg,255973,tt0298130,14,11,0,0,0,0,0,0,0,0
166,none,Daphne and her four children try to cope with the abrupt death of husband/father. As the family seems to fall apart; a sudden incident gives them a chance to heal their 'broken wings'.,R,True,Hebrew,Broken Wings,Israel,Nir Bergman,75,7.6,Nir Bergman,24 Oct 2002,Orly Silbersatz Banai; Maya Maron; Daniel Magon; Nitai Gvirtz,2002,Drama,15 wins & 4 nominations.,87 min,movie,http://ia.media-imdb.com/images/M/MV5BMTIxODkwNTAzN15BMl5BanBnXkFtZTcwMzcyOTUyMQ@@._V1_SX300.jpg,2121,tt0317842,15,4,0,0,0,0,0,0,0,0
212,none,Two Irish lads stumble through London's gay scene.,R,True,English,9 Dead Gay Guys,UK,Lab Ky Mo,21,6.3,Lab Ky Mo,19 Sep 2003,Glen Mulhern; Brendan Mackey; Steven Berkoff; Michael Praed,2002,Comedy; Crime,2 wins.,83 min,movie,http://ia.media-imdb.com/images/M/MV5BNTE5NDc2MDE1NF5BMl5BanBnXkFtZTcwMjQ2NTAwMQ@@._V1_SX300.jpg,1324,tt0336910,2,0,0,0,0,0,0,0,0,0
545,none,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,PG-13,True,English; Quenya; Old English; Sindarin,The Lord of the Rings: The Return of the King,USA; New Zealand,J.R.R. Tolkien (novel); Fran Walsh (screenplay); Philippa Boyens (screenplay); Peter Jackson (screenplay),94,8.9,Peter Jackson,17 Dec 2003,Noel Appleby; Ali Astin; Sean Astin; David Aston,2003,Adventure; Drama; Fantasy,Won 11 Oscars. Another 174 wins & 113 nominations.,201 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_SX300.jpg,1238528,tt0167260,185,113,0,0,0,11,0,0,0,0
547,none,A New York advertising executive travels to a small Southern town to collect an inheritance but finds he must create a gospel choir and lead it to success before he can collect.,PG-13,True,English,The Fighting Temptations,USA,Elizabeth Hunter (story); Elizabeth Hunter (screenplay); Saladin K. Patterson (screenplay),53,5.5,Jonathan Lynn,19 Sep 2003,Nigel Washington; Chloe Bailey; Demetress Long; Ann Nesby,2003,Comedy; Drama; Music,4 wins & 11 nominations.,123 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODkxMzQzNzQyNl5BMl5BanBnXkFtZTYwOTE4MjI3._V1_SX300.jpg,5869,tt0191133,4,11,0,0,0,0,0,0,0,0
552,none,"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.",R,True,English; Spanish,Once Upon a Time in Mexico,USA,Robert Rodriguez,56,6.4,Robert Rodriguez,12 Sep 2003,Antonio Banderas; Salma Hayek; Johnny Depp; Mickey Rourke,2003,Action; Thriller,3 wins & 4 nominations.,102 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MDg5OTcwOV5BMl5BanBnXkFtZTcwMjI1MTIzMw@@._V1_SX300.jpg,131771,tt0285823,3,4,0,0,0,0,0,0,0,0
553,none,When his wife is killed in a seemingly random incident Harry (Turturro); prompted by mysterious visions; journeys to discover the true circumstances surrounding her murder.,PG-13,True,English,Fear X,Denmark; Canada; UK; Brazil,Hubert Selby Jr.; Nicolas Winding Refn,61,6.0,Nicolas Winding Refn,04 Apr 2003,John Turturro; Deborah Kara Unger; Stephen Eric McIntyre; William Allen Young,2003,Thriller,1 win & 5 nominations.,91 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc3MDg1OTQ0Nl5BMl5BanBnXkFtZTcwNjQwMTgyMQ@@._V1_SX300.jpg,5196,tt0289944,1,5,0,0,0,0,0,0,0,0
556,none,In the third installment of the Scary Movie franchise; Cindy has to investigate mysterious crop circles and video tapes; and help the President in preventing an alien invasion.,PG-13,True,English,Scary Movie 3,USA; Canada,Craig Mazin; Pat Proft; Shawn Wayans (characters); Marlon Wayans (characters); Buddy Johnson (characters); Phil Beauman (characters); Jason Friedberg (characters); Aaron Seltzer (characters),49,5.5,David Zucker,24 Oct 2003,Pamela Anderson; Jenny McCarthy; Marny Eng; Charlie Sheen,2003,Comedy,2 wins & 2 nominations.,84 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDE2NTIyMjg2OF5BMl5BanBnXkFtZTYwNDEyMTg3._V1_SX300.jpg,113368,tt0306047,2,2,0,0,0,0,0,0,0,0
560,none,Antonio Banderas and Emma Thompson star in this gripping political thriller about a man with the power to see the fate of missing people - with the exception of his own beloved wife.,R,True,English; Spanish,Imagining Argentina,Spain; UK; USA,Lawrence Thornton (novel); Christopher Hampton,27,6.3,Christopher Hampton,16 Apr 2004,Irene Escolar; Fernando Tielve; Hector Bordoni; Antonio Banderas,2003,Drama; Romance; Thriller,1 nomination.,107 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3ODQ4OTEwOV5BMl5BanBnXkFtZTcwNDY5NDMzMQ@@._V1_SX300.jpg,2833,tt0314197,0,1,0,0,0,0,0,0,0,0
564,none,A thirty-something former child star hires a foster family to re-create the childhood he never had.,PG-13,True,English,Dickie Roberts: Former Child Star,USA,Fred Wolf; David Spade,36,5.6,Sam Weisman,05 Sep 2003,David Spade; Mary McCormack; Craig Bierko; Scott Terra,2003,Comedy,1 win & 1 nomination.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxODcyODYwMF5BMl5BanBnXkFtZTYwNTcwMzM3._V1_SX300.jpg,11919,tt0325258,1,1,0,0,0,0,0,0,0,0
567,none,A bet pits a British inventor; a Chinese thief; and a French artist on a worldwide adventure that they can circle the globe in 80 days.,PG,True,English; Cantonese; French; German; Hindi; Turkish,Around the World in 80 Days,USA; Germany; Ireland; UK,Jules Verne (novel); David N. Titcher (screenplay); David Benullo (screenplay); David Andrew Goldstein (screenplay),49,5.8,Frank Coraci,16 Jun 2004,Jackie Chan; Steve Coogan; Cécile De France; Robert Fyfe,2004,Action; Adventure; Comedy,2 nominations.,120 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MTkxMjQ2NF5BMl5BanBnXkFtZTcwNzE0NzUyMQ@@._V1_SX300.jpg,69870,tt0327437,0,2,0,0,0,0,0,0,0,0
573,none,When a girl attending a Christian high school becomes pregnant; she finds herself ostracized and demonized; as all of her former friends turn on her.,PG-13,True,English,Saved!,USA; Canada,Brian Dannelly; Michael Urban,62,6.9,Brian Dannelly,11 Jun 2004,Jena Malone; Mandy Moore; Macaulay Culkin; Patrick Fugit,2004,Comedy; Drama,1 win & 6 nominations.,92 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1ODM1ODU1N15BMl5BanBnXkFtZTcwMjI5MzA3NA@@._V1_SX300.jpg,40585,tt0332375,1,6,0,0,0,0,0,0,0,0
